Attack Type	Description
physical	"Raises user's Speed and removes entry hazards and trap move effects."
physical	"Power increases with higher Friendship."
physical	"The lower the user's HP, the higher the power."
physical	"May lower opponent's Defense."
physical	"Doubles in power each turn for 5 turns."
physical	"May burn opponent."
physical	"May paralyze opponent."
physical	"May raise user's Defense."
physical	"Also steals opponent's held item."
physical	"Hits thrice in one turn at increasing power."
physical	"User attacks last, but ignores Accuracy and Evasiveness."
physical	"Ignores Accuracy and Evasiveness."
physical	"Hits 2-5 times in one turn."
physical	"May cause flinching."
physical	"High critical hit ratio. May burn opponent."
physical	"Springs up on first turn, attacks on second. May paralyze opponent."
physical	"Breaks through Reflect and Light Screen barriers."
physical	"Hits 2-5 times in one turn."
physical	"Opponent's item is stolen by the user."
physical	"May lower opponent's Defense."
physical	"Dives underwater on first turn, attacks on second turn."
physical	""
physical	"Reduces opponent's HP to same as user's."
physical	"Power doubles if user is burned, poisoned, or paralyzed."
physical	"User attacks first, foe flinches. Only usable on first turn."
physical	"If the user is hit before attacking, it flinches instead."
physical	"Doubles in power each turn for 5 turns."
physical	"Hits 2-5 times in one turn."
physical	"Removes opponent's held item for the rest of the battle."
physical	"High critical hit ratio."
physical	"May raise user's Attack."
physical	"May cause flinching."
physical	"May badly poison opponent."
physical	"High critical hit ratio. May poison opponent."
physical	"Power increases if user was hit first."
physical	"Hits 2-5 times in one turn."
physical	"Lowers opponent's Speed."
physical	"Traps opponent, damaging them for 4-5 turns."
physical	"Effects of the attack vary with the location."
physical	"Ignores Accuracy and Evasiveness."
physical	"Hits the opponent, even during Fly."
physical	"Power doubles if opponent is paralyzed, but cures it."
physical	"Lowers user's Attack and Defense."
physical	"User receives recoil damage. May paralyze opponent."
physical	"User attacks first."
physical	""
physical	"Power doubles if opponent already took damage in the same turn."
physical	"High critical hit ratio."
physical	"Power doubles if user took damage first."
physical	"User receives recoil damage."
physical	"Receives the effect from the opponent's held berry."
physical	"User attacks first."
physical	"Lowers user's Defense and Special Defense."
physical	"High critical hit ratio. May poison opponent."
physical	"More powerful when opponent has higher HP."
physical	"Hits twice in one turn."
physical	"May cause flinching."
physical	"User recovers half the HP inflicted on opponent."
physical	"Only hits if opponent uses Protect or Detect in the same turn."
physical	"May cause flinching and/or burn opponent."
physical	"User receives recoil damage. May burn opponent."
physical	"Power depends on held item."
physical	"May paralyze opponent."
physical	"User must recharge next turn."
physical	"May poison opponent."
physical	"The slower the user, the stronger the attack."
physical	"Lowers user's Speed."
physical	"User receives recoil damage."
physical	"May cause flinching and/or freeze opponent."
physical	"User attacks first."
physical	"May cause flinching."
physical	"Can only be used after all other moves are used."
physical	"Ignores Accuracy and Evasiveness."
physical	"Deals damage equal to 1.5x opponent's attack."
physical	"Power and type depend on the user's held berry."
physical	"High critical hit ratio."
physical	"Power doubles if the user was attacked first."
physical	"If the opponent is holding a berry, its effect is stolen by user."
physical	"May poison the opponent."
physical	""
physical	"High critical hit ratio."
physical	"Power increases when opponent's stats have been raised."
physical	"May confuse opponent."
physical	"User must recharge next turn."
physical	""
physical	"High critical hit ratio."
physical	"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
physical	"User attacks first."
physical	"High critical hit ratio."
physical	"User attacks first, but only works if opponent is readying an attack."
physical	"May cause flinching and/or paralyze opponent."
physical	"User switches out immediately after attacking."
physical	"Power doubles if opponent is asleep, but wakes it up."
physical	"User receives recoil damage."
physical	""
physical	"May cause flinching."
physical	"Changes type based on Morpeko's Mode."
physical	"May poison opponent; inflicts double damage if the target is already poisoned."
physical	"Damage doubles if target is Dynamaxed."
physical	"Damage doubles if target is Dynamaxed."
physical	"The higher the user's Defense, the stronger the attack."
physical	"If the user attacks before the target, the power of this move is doubled."
physical	""
physical	"Hits multiple opponents and lowers their attack."
physical	"Sets up Spikes."
physical	"May poison, paralyze or put the opponent to sleep."
physical	"User attacks twice."
physical	"Lowers opponent's Speed."
physical	"The user slams the target with its wings. The target is hit twice in a row."
physical	"Ignores Accuracy and Evasiveness."
physical	"If the user attacks before the target, the power of this move is doubled."
physical	"After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
physical	"The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon."
physical	"High priority during Grassy Terrain."
physical	"Lowers the opponent's Defense stat."
physical	"Lowers user's Defense."
physical	"Prevents user and opponent from switching out."
physical	"Double power if stats were lowered during the turn."
physical	"User must recharge next turn."
physical	"Lowers user's Speed."
physical	"Fails if the target doesn’t have an item."
physical	"Raises user's Defense and Special Defense."
physical	"May burn opponent."
physical	"User attacks for 2-3 turns but then becomes confused."
physical	"Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense."
physical	"Lowers opponent's Sp. Attack."
physical	"Traps opponent, damaging them for 4-5 turns."
physical	"Lowers opponent's Special Attack."
physical	"Fails if no Terrain in effect."
physical	"Sets up Stealth Rock."
physical	"Always results in a critical hit and ignores stat changes."
physical	"Lowers opponent's Defense."
physical	"High critical hit ratio. May lower opponent's Defense or cause them to flinch."
physical	"Attacks thrice with more power each time."
physical	"User receives recoil damage."
physical	"Always results in a critical hit and ignores stat changes."
physical	"High critical hit ratio."
physical	"Raises user's Speed."
physical	"May confuse opponent. If it misses, the user loses HP."
physical	"User recovers half the HP inflicted on opponent."
physical	"May burn the opponent."
physical	"Boosted even more if it's super-effective."
physical	"May paralyze the opponent."
physical	"Deals more damage to the opponent that last inflicted damage on it."
physical	"After using this move, the user will no longer be Electric type."
physical	"Never misses; always results in a critical hit."
physical	"Cannot be used twice in a row."
physical	"Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage."
physical	""
physical	"Can strike through Protect/Detect."
physical	"Removes effects of Terrain."
physical	"High critical hit ratio. Type changes based on form."
physical	"Always goes first."
physical	"Always hits."
physical	"Damages increases the more party Pokémon have been defeated."
physical	"May confuse the opponent."
physical	""
physical	"Removes entry hazards and trap move effects, and poisons opposing Pokémon."
physical	"May poison the opponent."
physical	"Boosts Attack/Defense/Speed depending on ally Tatsugiri."
physical	"Hits 1-10 times in a row."
physical	"Lowers opponent's Speed."
physical	"Power increases on Electric Terrain."
physical	"The more times the user has been hit by attacks, the greater the move's power."
physical	"Type depends on the user’s form. Breaks through Reflect and Light Screen barriers."
physical	"Deals damage each turn; Steel and Water types are more affected."
physical	"Harshly lowers user’s Speed."
physical	""
physical	""
physical	"Raises user's Speed."
physical	"Hits 3 times in a row."
physical	"Strikes before a target's priority move."
physical	"May put opponent to sleep."
physical	"Stronger when the user does not have a held item."
physical	"May paralyze opponent."
physical	"Lowers opponent's Speed."
physical	"Ignores opponent's stat changes."
physical	"In battles, the opponent switches. In the wild, the Pokémon runs."
physical	"In battles, the opponent switches. In the wild, the Pokémon runs."
physical	"High critical hit ratio."
physical	"Hits twice in one turn."
physical	"Raises user's Speed."
physical	"Uses the opponent's Attack stat."
physical	"Charges on first turn, attacks on second. May paralyze opponent."
physical	"Power increases if Fusion Flare is used in the same turn."
physical	"Hits twice in one turn."
physical	"User receives recoil damage."
physical	"May cause flinching."
physical	"The heavier the user, the stronger the attack."
physical	"The heavier the user, the stronger the attack."
physical	"User recovers half the HP inflicted on opponent."
physical	"May cause flinching."
physical	"Lowers opponent's Speed."
physical	"May lower opponent's Defense."
physical	"Inflicts double damage if a teammate fainted on the last turn."
physical	"Ignores opponent's stat changes."
physical	"Takes opponent into the air on first turn, drops them on second turn."
physical	"Makes Flying-type Pokémon vulnerable to Ground moves."
physical	"May cause flinching."
physical	"Always results in a critical hit."
physical	"Hits 2-5 times in one turn."
physical	"Lowers user's Defense, Special Defense and Speed."
physical	"User receives recoil damage."
physical	""
special	"Hits all adjacent Pokémon."
special	"Hits all adjacent opponents."
special	"Ignores Accuracy and Evasiveness."
special	"User recovers most the HP inflicted on opponent."
special	""
special	"May freeze opponent. Super-effective against Water types."
special	"Can strike through Protect/Detect."
special	"Traps opponent, damaging them for 4-5 turns."
special	"User receives recoil damage."
special	"May lower opponent's Special Attack."
special	"Lowers opponent's Special Attack."
special	"User recovers most of the HP inflicted on opponent."
special	"Hits all adjacent opponents."
special	"User recovers half the HP inflicted on opponent."
special	"May burn opponent."
special	"Hits 2-5 times in one turn."
special	"Pikachu-exclusive Z-Move. High critical hit ratio."
special	"Reduces damage from Physical attacks."
special	"User recovers half the HP inflicted on opponent."
special	"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type."
special	"Paralyzes the opponent."
special	"Lowers user's Defense."
special	"Kommo-o exclusive Z-Move."
special	"Suppresses the target's ability if the target has already moved."
special	"Sharply lowers user's Special Attack."
special	"Resets all stat changes."
special	"Mew-exclusive Z-Move."
special	"Reduces damage from Special attacks."
special	"Tapu-exclusive Z-move. Cuts opponent's HP by 75%."
special	"Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat."
special	"Lunala-exclusive Z-Move."
special	"User receives recoil damage."
special	"Ignores the target's ability."
special	"Halves the foe's HP."
special	"Primarina-exclusive Z-Move."
special	"Uses Attack or Special Attack stat, whichever is higher."
special	"Power increases when player's bond is stronger."
special	"Deals damage to opponent or restores HP of teammate."
special	"The user shoots powerful lasers using the power of a prism. The user can't move on the next turn."
special	"Type changes based on Oricorio's form."
special	"Deals more damage to opponent if hit by a Physical move."
special	"Heals the burns of its target."
special	"Cures all status problems in the party Pokémon."
special	"May paralyze opponent."
special	"Alolan Raichu-exclusive Electric type Z-Move."
special	"User recovers half the HP inflicted on opponent."
special	"May lower opponent's Special Defense."
special	"May lower opponent's Attack."
special	"May freeze opponent."
special	"May lower opponent's Speed."
special	"May lower opponent's Speed."
special	"May confuse opponent."
special	"Always inflicts 40 HP."
special	"User recovers half the HP inflicted on a sleeping opponent."
special	"May burn opponent."
special	"May burn opponent."
special	"Traps opponent, damaging them for 4-5 turns."
special	"May burn opponent."
special	"Hits Pokémon using Fly/Bounce/Sky Drop with double power."
special	""
special	"User must recharge next turn."
special	"May freeze opponent."
special	"User recovers half the HP inflicted on opponent."
special	"Inflicts damage equal to user's level."
special	"User attacks for 2-3 turns but then becomes confused."
special	"May confuse opponent."
special	"May lower opponent's Special Defense."
special	"Inflicts damage 50-150% of user's level."
special	"Charges on first turn, attacks on second. High critical hit ratio."
special	"May poison opponent."
special	"May poison opponent."
special	"Charges on first turn, attacks on second."
special	"Always inflicts 20 HP."
special	"Hits all adjacent Pokémon."
special	"Ignores Accuracy and Evasiveness."
special	"May paralyze opponent."
special	"May paralyze opponent."
special	"May paralyze opponent."
special	"May paralyze, burn or freeze opponent."
special	""
special	"High critical hit ratio."
special	"May raise all user's stats at once."
special	"May paralyze opponent."
special	"Damage occurs 2 turns later."
special	"User recovers half the HP inflicted on opponent."
special	"Type and power depends on user's IVs."
special	"Lowers opponent's Speed."
special	"When hit by a Special Attack, user strikes back with 2x power."
special	"Lowers opponent's Accuracy."
special	"May lower opponent's Accuracy."
special	"May freeze opponent."
special	"May lower opponent's Special Defense."
special	"May poison opponent."
special	"Can only be used if asleep. May cause flinching."
special	"May cause flinching. Hits Pokémon using Fly/Bounce with double power."
special	"Traps opponent, damaging them for 4-5 turns."
special	"Paralyzes opponent."
special	"High critical hit ratio."
special	"User must recharge next turn."
special	"Damage occurs 2 turns later."
special	"Stronger when the user's HP is higher."
special	"May cause flinching."
special	"User must recharge next turn."
special	"May burn opponent."
special	"User must recharge next turn."
special	""
special	"May lower opponent's Special Defense."
special	"Ignores Accuracy and Evasiveness."
special	"May lower opponent's Special Attack."
special	"Lowers opponent's Speed."
special	"May lower opponent's Accuracy."
special	"Sharply lowers user's Special Attack."
special	"Sharply lowers user's Special Attack."
special	"One-Hit-KO, if it hits."
special	"Ignores Accuracy and Evasiveness."
special	"May confuse opponent."
special	"May raise all stats of user at once."
special	"Power depends on how many times the user performed Stockpile."
special	"User attacks for 3 turns and prevents sleep."
special	"May confuse opponent."
special	"The higher the user's HP, the higher the damage caused."
special	"Move's power and type changes with the weather."
special	"May cause flinching."
special	"Ignores Accuracy and Evasiveness."
special	"Power doubles if opponent's HP is less than 50%."
special	"May lower opponent's Special Defense."
special	"May raise user's Special Attack."
special	"Confuses opponent."
special	"May cause flinching."
special	"May paralyze opponent."
special	"Sharply lowers user's Special Attack."
special	""
special	"May lower opponent's Special Defense."
special	"May lower opponent's Special Defense."
special	"May lower opponent's Special Defense."
special	"May lower opponent's Special Defense."
special	"The heavier the opponent, the stronger the attack."
special	"Type depends on the Arceus Plate being held."
special	"May burn opponent."
special	"Sharply lowers user's Special Attack."
special	"Traps opponent, damaging them for 4-5 turns."
special	"May lower opponent's Accuracy."
special	"May lower opponent's Accuracy."
special	"May raise all user's stats at once."
special	""
special	"User must recharge next turn."
special	"May lower opponent's Special Defense."
special	"High critical hit ratio."
special	"The lower the PP, the higher the power."
special	"User attacks first."
special	"The higher the opponent's HP, the higher the damage."
special	"Lowers target's Special Defense."
special	"The user attacks by sending a frightful amount of small ghosts at opposing Pokémon."
special	"Lowers opponent's Attack."
special	"May lower opponent's Speed."
special	"Hits all opponents, and burns any that have had their stats boosted."
special	"User receives recoil damage."
special	"The higher the user's HP, the higher the power."
special	"Damage doubles if opponent is Dynamaxed."
special	"Deals damage and reduces opponent's PP."
special	"High critical hit ratio. Raises user's Speed."
special	"User can't move on the next turn."
special	"Increases power and hits all opponents on Psychic Terrain."
special	"May cause flinching."
special	"May freeze opponent."
special	"Inflicts double damage if the target has a status condition."
special	"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
special	"Power increases on Misty Terrain."
special	"Raises user's Special Attack."
special	"Hits all adjacent opponents."
special	"Power doubles on Electric Terrain."
special	"May burn target."
special	"May burn the target."
special	"May poison opponent. Inflicts either Special or Physical damage, whichever is better."
special	"Ignores moves and abilities that draw in moves. High critical hit ratio."
special	"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme."
special	"User loses 50% of its HP."
special	"May confuse opponent."
special	"Type and power change depending on the Terrain in effect."
special	"Deals damage and traps opponent, damaging them for 4-5 turns."
special	"May paralyze target."
special	""
special	"Lowers user's Defense and Special Defense."
special	"Cannot be used twice in a row."
special	"Lowers opponent's Attack."
special	"Boosted even more if it's super-effective."
special	"Charges on first turn, attacks on second."
special	"May deal double damage."
special	"Power increases in harsh sunlight."
special	"Harshly lowers target’s Special Defense."
special	"Lowers user's Special Attack. Money is earned after the battle."
special	"May poison the opponent."
special	"Deals damage, restores HP, may burn opponent."
special	"Deals damage and prevents target from healing."
special	"Halves the opponent's HP."
special	"Lowers opponent's Speed each turn for 3 turns."
special	"Guaranteed to hit twice in a row."
special	"Changes type when the user has Terastallized."
special	""
special	"Strikes before a target's move."
special	"Raises user's Special Attack."
special	"Hits twice in one turn."
special	"Sharply lowers opponent's Special Defense."
special	"May burn opponent."
special	"Removes all of the target's stat changes."
special	"Power increases each turn."
special	"The faster the user, the stronger the attack."
special	"Lowers opponent's Speed."
special	"May raise user's Special Attack."
special	"Inflicts damage equal to the user's remaining HP. User faints."
special	"Added effects appear if combined with Grass Pledge or Water Pledge."
special	"May also injure nearby Pokémon."
special	"Always results in a critical hit."
special	"Power increases if Fusion Bolt is used in the same turn."
special	"Lowers opponent's Speed."
special	"Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge."
special	"Inflicts more damage if the target has a status condition."
special	"May confuse opponent."
special	"Charges on first turn, attacks on second. May burn opponent."
special	"Destroys the target's held berry."
special	"Burns opponent."
special	"May lower opponent's Accuracy."
special	"May lower opponent's Accuracy."
special	"Inflicts damage based on the target's Defense, not Special Defense."
special	"Inflicts damage based on the target's Defense, not Special Defense."
special	"May put the target to sleep."
special	"Power increases if teammates use it in the same turn."
special	"May burn opponent."
special	"May burn opponent."
special	"Inflicts damage based on the target's Defense, not Special Defense."
special	"May poison opponent."
special	"Lowers opponent's Special Attack."
special	"Power increases when user's stats have been raised."
special	"Lowers opponent's Special Attack."
special	"Hits any Pokémon that shares a type with the user."
special	"Type depends on the Drive being held."
special	"Inflicts double damage if the target is poisoned."
special	"User must switch out after attacking."
special	"Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge."
special	""
status	"Always goes first. Lowers the target's attack."
status	"The Pokémon congratulates you on your special day. No battle effect."
status	"Lowers opponent's Special Attack."
status	"Protects the Pokémon from status moves."
status	"Sharply lowers opponent's Special Attack."
status	"Prevents all Pokémon from falling asleep for 5 turns."
status	"Changes the target's move to Electric type."
status	"Prevents fleeing in the next turn."
status	"Sharply raises Defense of all Grass-type Pokémon on the field."
status	"Adds Grass type to opponent."
status	"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second."
status	"Restores a little HP of all Pokémon for 5 turns."
status	"Doubles prize money from trainer battles."
status	"Makes the user and an ally very happy."
status	"Changes Normal-type moves to Electric-type."
status	"Protects the user and lowers opponent's Attack on contact."
status	"Raises Defense and Sp. Defense of Plus/Minus Pokémon."
status	"Protects teammates from damaging moves."
status	"Protects the field from status conditions for 5 turns."
status	"Lowers opponent's Attack and Special Attack."
status	"Lowers opponent's Attack and Special Attack then switches out."
status	"Lowers opponent's Attack. Always hits."
status	"Damages Pokémon using Fire type moves."
status	"Raises Attack and Special Attack of Grass-types."
status	"Protects the user and inflicts damage on contact."
status	"Lowers opponent's Speed when switching into battle."
status	"Reverses stat changes of opponent."
status	"Adds Ghost type to opponent."
status	"Lowers poisoned opponent's Special Attack and Speed."
status	"Halves damage from Physical and Special attacks for five turns."
status	"Protects the user and poisons opponent on contact."
status	"Eevee-exclusive Z-Move. Sharply raises all stats."
status	"The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass."
status	"The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability."
status	"Allows an ally to use a move instead."
status	"User's next attack is guaranteed to result in a critical hit."
status	"Prevents priority moves from being used for 5 turns."
status	"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP."
status	"The user regains up to half of its max HP. It restores more HP in a sandstorm."
status	"The user exchanges Speed stats with the target."
status	"The user shines a spotlight on the target so that only the target will be attacked during the turn."
status	"The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat."
status	"The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats."
status	"Poisons opponent and lowers its Speed."
status	"Sharply raises user's Defense."
status	"Sharply raises user's Speed."
status	"Sharply raises user's Special Defense."
status	"Sharply raises user's Defense."
status	"Confuses opponent."
status	"Changes user's type to that of its first move."
status	"Raises user's Defense."
status	"Opponent can't use its last attack for a few turns."
status	"Raises user's Evasiveness."
status	"Lowers opponent's Accuracy."
status	"Increases critical hit ratio."
status	"Paralyzes opponent."
status	"Lowers opponent's Attack."
status	"Raises user's Attack and Special Attack."
status	"Raises user's Defense."
status	"Resets all stat changes."
status	"Puts opponent to sleep."
status	"Lowers opponent's Accuracy."
status	"Drains HP from opponent each turn."
status	"Lowers opponent's Defense."
status	"Halves damage from Special attacks for 5 turns."
status	"Puts opponent to sleep."
status	"Raises user's Attack."
status	"User performs almost any move in the game at random."
status	"Copies the opponent's last move."
status	"Sharply raises user's Evasiveness."
status	"User performs the opponent's last move."
status	"User's stats cannot be changed for a period of time."
status	"Poisons opponent."
status	"Poisons opponent."
status	"User recovers half its max HP."
status	"Halves damage from Physical attacks for 5 turns."
status	"User sleeps for 2 turns, but user is fully healed."
status	"In battles, the opponent switches. In the wild, the Pokémon runs."
status	"Lowers opponent's Accuracy."
status	"Sharply lowers opponent's Defense."
status	"Raises user's Attack."
status	"Puts opponent to sleep."
status	"Puts opponent to sleep."
status	"Lowers opponent's Accuracy."
status	"User recovers half its max HP."
status	"Doesn't do ANYTHING."
status	"Puts opponent to sleep."
status	"Sharply lowers opponent's Speed."
status	"Paralyzes opponent."
status	"Uses HP to creates a decoy that takes hits."
status	"Confuses opponent."
status	"Sharply raises user's Attack."
status	"Lowers opponent's Defense."
status	"Allows user to flee wild battles; also warps player to last PokéCenter."
status	"Paralyzes opponent."
status	"Badly poisons opponent."
status	"User takes on the form and attacks of the opponent."
status	"In battles, the opponent switches. In the wild, the Pokémon runs."
status	"Raises user's Defense."
status	"If opponent is the opposite gender, it's less likely to attack."
status	"User switches out and gives stat changes to the incoming Pokémon."
status	"User loses 50% of its max HP, but Attack raises to maximum."
status	"Sharply lowers opponent's Attack."
status	"User changes type to become resistant to opponent's last move."
status	"Sharply lowers opponent's Speed."
status	"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
status	"If the user faints, the opponent also faints."
status	"Protects the user, but may fail if used consecutively."
status	"Forces opponent to keep using its last move for 3 turns."
status	"Always left with at least 1 HP, but may fail if used consecutively."
status	"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts."
status	"Heals the user's party's status conditions."
status	"User's next attack is guaranteed to hit."
status	"Opponent cannot flee or switch."
status	"User recovers half its max HP."
status	"User's next attack is guaranteed to hit."
status	"User recovers HP. Amount varies with the weather."
status	"User recovers HP. Amount varies with the weather."
status	"The sleeping opponent loses 25% of its max HP each turn."
status	"The user's and opponent's HP becomes the average of both."
status	"Any Pokémon in play when this attack is used faints in 3 turns."
status	"Protects the user, but may fail if used consecutively."
status	"Copies the opponent's stat changes."
status	"Makes it rain for 5 turns."
status	"The user's party is protected from status conditions."
status	"Creates a sandstorm for 5 turns."
status	"Sharply lowers opponent's Speed."
status	"Permanently copies the opponent's last move."
status	"User performs one of its own moves while sleeping."
status	"Opponent cannot escape/switch."
status	"Damages opponents switching into battle."
status	"The opponent's last move loses 2-5 PP."
status	"Makes it sunny for 5 turns."
status	"Confuses opponent, but sharply raises its Attack."
status	"Confuses opponent."
status	"Lowers opponent's Evasiveness."
status	"User recovers HP. Amount varies with the weather."
status	"Cures all status problems in your party."
status	"User performs a move known by its allies at random."
status	"Opponent cannot flee or switch."
status	"Raises user's Attack and Defense."
status	"Raises user's Special Attack and Special Defense."
status	"Changes user's type according to the location."
status	"Raises user's Special Defense and next Electric move's power increases."
status	"Raises user's Defense and Special Defense."
status	"Raises user's Attack and Speed."
status	"Sharply lowers opponent's Special Defense."
status	"Sharply lowers opponent's Attack."
status	"Confuses opponent, but raises its Special Attack."
status	"In Double Battle, the user takes all the attacks."
status	"Puts opponent to sleep."
status	"If the users faints after using this move, the PP for the opponent's last move is depleted."
status	"Non-Ice types are damaged for 5 turns."
status	"In Double Battles, boosts the power of the partner's move."
status	"Raises Attack of allies."
