gen	name	category	type	description
gen6	Ion Deluge	Electric	status	Changes Normal-type moves to Electric-type.
gen6	King's Shield	Steel	status	Protects the user and lowers opponent's Attack on contact.
gen6	Land's Wrath	Ground	physical	
gen6	Light of Ruin	Fairy	special	User receives recoil damage.
gen6	Magnetic Flux	Electric	status	Raises Defense and Sp. Defense of Plus/Minus Pokémon.
gen6	Mat Block	Fighting	status	Protects teammates from damaging moves.
gen6	Misty Terrain	Fairy	status	Protects the field from status conditions for 5 turns.
gen6	Moonblast	Fairy	special	May lower opponent's Special Attack.
gen6	Mystical Fire	Fire	special	Lowers opponent's Special Attack.
gen6	Noble Roar	Normal	status	Lowers opponent's Attack and Special Attack.
gen6	Nuzzle	Electric	physical	Paralyzes opponent.
gen6	Oblivion Wing	Flying	special	User recovers most of the HP inflicted on opponent.
gen6	Origin Pulse	Water	special	Hits all adjacent opponents.
gen6	Parabolic Charge	Electric	special	User recovers half the HP inflicted on opponent.
gen6	Parting Shot	Dark	status	Lowers opponent's Attack and Special Attack then switches out.
gen6	Petal Blizzard	Grass	physical	Hits all adjacent Pokémon.
gen6	Phantom Force	Ghost	physical	Disappears on first turn, attacks on second. Can strike through Protect/Detect.
gen6	Play Nice	Normal	status	Lowers opponent's Attack. Always hits.
gen6	Play Rough	Fairy	physical	May lower opponent's Attack.
gen6	Powder	Bug	status	Damages Pokémon using Fire type moves.
gen6	Power-Up Punch	Fighting	physical	Raises Attack.
gen6	Precipice Blades	Ground	physical	Hits all adjacent opponents.
gen6	Rototiller	Ground	status	Raises Attack and Special Attack of Grass-types.
gen6	Spiky Shield	Grass	status	Protects the user and inflicts damage on contact.
gen6	Steam Eruption	Water	special	May burn opponent.
gen6	Sticky Web	Bug	status	Lowers opponent's Speed when switching into battle.
gen6	Thousand Arrows	Ground	physical	Makes Flying-type Pokémon vulnerable to Ground moves.
gen6	Thousand Waves	Ground	physical	Opponent cannot flee or switch.
gen6	Topsy-Turvy	Dark	status	Reverses stat changes of opponent.
gen6	Trick-or-Treat	Ghost	status	Adds Ghost type to opponent.
gen6	Venom Drench	Poison	status	Lowers poisoned opponent's Special Attack and Speed.
gen6	Water Shuriken	Water	special	Hits 2-5 times in one turn.
gen7	10,000,000 Volt Thunderbolt	Electric	special	Pikachu-exclusive Z-Move. High critical hit ratio.
gen7	Accelerock	Rock	physical	User attacks first.
gen7	Acid Downpour	Poison		Poison type Z-Move.
gen7	All-Out Pummeling	Fighting		Fighting type Z-Move.
gen7	Anchor Shot	Steel	physical	The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
gen7	Aurora Veil	Ice	status	Halves damage from Physical and Special attacks for five turns.
gen7	Baddy Bad	Dark	special	Reduces damage from Physical attacks.
gen7	Baneful Bunker	Poison	status	Protects the user and poisons opponent on contact.
gen7	Beak Blast	Flying	physical	The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.
gen7	Black Hole Eclipse	Dark		Dark type Z-Move.
gen7	Bloom Doom	Grass		Grass type Z-Move.
gen7	Bouncy Bubble	Water	special	User recovers half the HP inflicted on opponent.
gen7	Breakneck Blitz	Normal		Normal type Z-Move.
gen7	Brutal Swing	Dark	physical	The user swings its body around violently to inflict damage on everything in its vicinity.
gen7	Burn Up	Fire	special	To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.
gen7	Buzzy Buzz	Electric	special	Paralyzes the opponent.
gen7	Catastropika	Electric	physical	Pikachu-exclusive Z-Move.
gen7	Clanging Scales	Dragon	special	Lowers user's Defense.
gen7	Clangorous Soulblaze	Dragon	special	Kommo-o exclusive Z-Move.
gen7	Continental Crush	Rock		Rock type Z-Move.
gen7	Core Enforcer	Dragon	special	Suppresses the target's ability if the target has already moved.
gen7	Corkscrew Crash	Steel		Steel type Z-Move.
gen7	Darkest Lariat	Dark	physical	Ignores opponent's stat changes.
gen7	Devastating Drake	Dragon		Dragon type Z-Move.
gen7	Double Iron Bash	Steel	physical	Hits twice in one turn; may cause flinching.
gen7	Dragon Hammer	Dragon	physical	The user uses its body like a hammer to attack the target and inflict damage.
gen7	Extreme Evoboost	Normal	status	Eevee-exclusive Z-Move. Sharply raises all stats.
gen7	Fire Lash	Fire	physical	The user strikes the target with a burning lash. This also lowers the target's Defense stat.
gen7	First Impression	Bug	physical	Although this move has great power, it only works the first turn the user is in battle.
gen7	Fleur Cannon	Fairy	special	Sharply lowers user's Special Attack.
gen7	Floaty Fall	Flying	physical	May cause flinching.
gen7	Floral Healing	Fairy	status	The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
gen7	Freezy Frost	Ice	special	Resets all stat changes.
gen7	Gear Up	Steel	status	The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.
gen7	Genesis Supernova	Psychic	special	Mew-exclusive Z-Move.
gen7	Gigavolt Havoc	Electric		Electric type Z-Move.
gen7	Glitzy Glow	Psychic	special	Reduces damage from Special attacks.
gen7	Guardian of Alola	Fairy	special	Tapu-exclusive Z-move. Cuts opponent's HP by 75%.
gen7	High Horsepower	Ground	physical	The user fiercely attacks the target using its entire body.
gen7	Hydro Vortex	Water		Water type Z-Move.
gen7	Ice Hammer	Ice	physical	The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.
gen7	Inferno Overdrive	Fire		Fire type Z-Move.
gen7	Instruct	Psychic	status	Allows an ally to use a move instead.
gen7	Laser Focus	Normal	status	User's next attack is guaranteed to result in a critical hit.
gen7	Leafage	Grass	physical	Strikes opponent with leaves.
gen7	Let's Snuggle Forever	Fairy	physical	Mimikyu-exclusive Z-Move.
gen7	Light That Burns the Sky	Psychic	special	Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.
gen7	Liquidation	Water	physical	May lower opponent's Defense.
gen7	Lunge	Bug	physical	The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.
gen7	Malicious Moonsault	Dark	physical	Incineroar-exclusive Z-Move.
gen7	Menacing Moonraze Maelstrom	Ghost	special	Lunala-exclusive Z-Move.
gen7	Mind Blown	Fire	special	User receives recoil damage.
gen7	Moongeist Beam	Ghost	special	Ignores the target's ability.
gen7	Multi-Attack	Normal	physical	Type matches Memory item held.
gen7	Nature's Madness	Fairy	special	Halves the foe's HP.
gen7	Never-Ending Nightmare	Ghost		Ghost type Z-Move.
gen7	Oceanic Operetta	Water	special	Primarina-exclusive Z-Move.
gen7	Photon Geyser	Psychic	special	Uses Attack or Special Attack stat, whichever is higher.
gen7	Pika Papow	Electric	special	Power increases when player's bond is stronger.
gen7	Plasma Fists	Electric	physical	Changes Normal-type moves to Electric-type moves.
gen7	Pollen Puff	Bug	special	Deals damage to opponent or restores HP of teammate.
gen7	Power Trip	Dark	physical	The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.
gen7	Prismatic Laser	Psychic	special	The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
gen7	Psychic Fangs	Psychic	physical	The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
gen7	Psychic Terrain	Psychic	status	Prevents priority moves from being used for 5 turns.
gen7	Pulverizing Pancake	Normal	physical	Snorlax-exclusive Normal type Z-Move.
gen7	Purify	Poison	status	The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.
gen7	Revelation Dance	Normal	special	Type changes based on Oricorio's form.
gen7	Sappy Seed	Grass	physical	Drains HP from opponent each turn.
gen7	Savage Spin-Out	Bug		Bug type Z-Move.
gen7	Searing Sunraze Smash	Steel	physical	Solgaleo-exclusive Z-Move.
gen7	Shadow Bone	Ghost	physical	May lower opponent's Defense.
gen7	Shattered Psyche	Psychic		Psychic type Z-Move.
gen7	Shell Trap	Fire	special	Deals more damage to opponent if hit by a Physical move.
gen7	Shore Up	Ground	status	The user regains up to half of its max HP. It restores more HP in a sandstorm.
gen7	Sinister Arrow Raid	Ghost	physical	Decidueye-exclusive Z-Move.
gen7	Sizzly Slide	Fire	physical	Burns the opponent.
gen7	Smart Strike	Steel	physical	The user stabs the target with a sharp horn. This attack never misses.
gen7	Solar Blade	Grass	physical	Charges on first turn, attacks on second.
gen7	Soul-Stealing 7-Star Strike	Ghost	physical	Marshadow-exclusive Z-Move.
gen7	Sparkling Aria	Water	special	Heals the burns of its target.
gen7	Sparkly Swirl	Fairy	special	Cures all status problems in the party Pokémon.
gen7	Spectral Thief	Ghost	physical	The user hides in the target's shadow, steals the target's stat boosts, and then attacks.
gen7	Speed Swap	Psychic	status	The user exchanges Speed stats with the target.
gen7	Spirit Shackle	Ghost	physical	Prevents the opponent from switching out.
gen7	Splintered Stormshards	Rock	physical	Lycanroc-exclusive Z-Move.
gen7	Splishy Splash	Water	special	May paralyze opponent.
gen7	Spotlight	Normal	status	The user shines a spotlight on the target so that only the target will be attacked during the turn.
gen7	Stoked Sparksurfer	Electric	special	Alolan Raichu-exclusive Electric type Z-Move.
gen7	Stomping Tantrum	Ground	physical	Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.
gen7	Strength Sap	Grass	status	The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.
gen7	Subzero Slammer	Ice		Ice type Z-Move.
gen7	Sunsteel Strike	Steel	physical	Ignores the target's ability.
gen7	Supersonic Skystrike	Flying		Flying type Z-Move.
gen7	Tearful Look	Normal	status	The user gets teary eyed to make the target lose its combative spirit. This lowers the target's Attack and Sp. Atk stats.
gen7	Tectonic Rage	Ground		Ground type Z-Move.
gen7	Throat Chop	Dark	physical	Prevents use of sound moves for two turns.
gen7	Toxic Thread	Poison	status	Poisons opponent and lowers its Speed.
gen7	Trop Kick	Grass	physical	Lowers opponent's Attack.
gen7	Twinkle Tackle	Fairy		Fairy type Z-Move.
gen7	Veevee Volley	Normal	physical	Power increases when player's bond is stronger.
gen7	Zing Zap	Electric	physical	May cause flinching.
gen7	Zippy Zap	Electric	physical	Always results in a critical hit.
gen1	Absorb	Grass	special	User recovers half the HP inflicted on opponent.
gen1	Acid	Poison	special	May lower opponent's Special Defense.
gen1	Acid Armor	Poison	status	Sharply raises user's Defense.
gen1	Agility	Psychic	status	Sharply raises user's Speed.
gen1	Amnesia	Psychic	status	Sharply raises user's Special Defense.
gen1	Aurora Beam	Ice	special	May lower opponent's Attack.
gen1	Barrage	Normal	physical	Hits 2-5 times in one turn.
gen1	Barrier	Psychic	status	Sharply raises user's Defense.
gen1	Bide	Normal	physical	User takes damage for two turns then strikes back double.
gen1	Bind	Normal	physical	Traps opponent, damaging them for 4-5 turns.
gen1	Bite	Dark	physical	May cause flinching.
gen1	Blizzard	Ice	special	May freeze opponent.
gen1	Body Slam	Normal	physical	May paralyze opponent.
gen1	Bone Club	Ground	physical	May cause flinching.
gen1	Bonemerang	Ground	physical	Hits twice in one turn.
gen1	Bubble	Water	special	May lower opponent's Speed.
gen1	Bubble Beam	Water	special	May lower opponent's Speed.
gen1	Clamp	Water	physical	Traps opponent, damaging them for 4-5 turns.
gen1	Comet Punch	Normal	physical	Hits 2-5 times in one turn.
gen1	Confuse Ray	Ghost	status	Confuses opponent.
gen1	Confusion	Psychic	special	May confuse opponent.
gen1	Constrict	Normal	physical	May lower opponent's Speed by one stage.
gen1	Conversion	Normal	status	Changes user's type to that of its first move.
gen1	Counter	Fighting	physical	When hit by a Physical Attack, user strikes back with 2x power.
gen1	Crabhammer	Water	physical	High critical hit ratio.
gen1	Cut	Normal	physical	
gen1	Defense Curl	Normal	status	Raises user's Defense.
gen1	Dig	Ground	physical	Digs underground on first turn, attacks on second. Can also escape from caves.
gen1	Disable	Normal	status	Opponent can't use its last attack for a few turns.
gen1	Dizzy Punch	Normal	physical	May confuse opponent.
gen1	Double Kick	Fighting	physical	Hits twice in one turn.
gen1	Double Slap	Normal	physical	Hits 2-5 times in one turn.
gen1	Double Team	Normal	status	Raises user's Evasiveness.
gen1	Double-Edge	Normal	physical	User receives recoil damage.
gen1	Dragon Rage	Dragon	special	Always inflicts 40 HP.
gen1	Dream Eater	Psychic	special	User recovers half the HP inflicted on a sleeping opponent.
gen1	Drill Peck	Flying	physical	
gen1	Earthquake	Ground	physical	Power is doubled if opponent is underground from using Dig.
gen1	Egg Bomb	Normal	physical	
gen1	Ember	Fire	special	May burn opponent.
gen1	Explosion	Normal	physical	User faints.
gen1	Fire Blast	Fire	special	May burn opponent.
gen1	Fire Punch	Fire	physical	May burn opponent.
gen1	Fire Spin	Fire	special	Traps opponent, damaging them for 4-5 turns.
gen1	Fissure	Ground	physical	One-Hit-KO, if it hits.
gen1	Flamethrower	Fire	special	May burn opponent.
gen1	Flash	Normal	status	Lowers opponent's Accuracy.
gen1	Fly	Flying	physical	Flies up on first turn, attacks on second turn.
gen1	Focus Energy	Normal	status	Increases critical hit ratio.
gen1	Fury Attack	Normal	physical	Hits 2-5 times in one turn.
gen1	Fury Swipes	Normal	physical	Hits 2-5 times in one turn.
gen1	Glare	Normal	status	Paralyzes opponent.
gen1	Growl	Normal	status	Lowers opponent's Attack.
gen1	Growth	Normal	status	Raises user's Attack and Special Attack.
gen1	Guillotine	Normal	physical	One-Hit-KO, if it hits.
gen1	Gust	Flying	special	Hits Pokémon using Fly/Bounce/Sky Drop with double power.
gen1	Harden	Normal	status	Raises user's Defense.
gen1	Haze	Ice	status	Resets all stat changes.
gen1	Headbutt	Normal	physical	May cause flinching.
gen1	High Jump Kick	Fighting	physical	If it misses, the user loses half their HP.
gen1	Horn Attack	Normal	physical	
gen1	Horn Drill	Normal	physical	One-Hit-KO, if it hits.
gen1	Hydro Pump	Water	special	
gen1	Hyper Beam	Normal	special	User must recharge next turn.
gen1	Hyper Fang	Normal	physical	May cause flinching.
gen1	Hypnosis	Psychic	status	Puts opponent to sleep.
gen1	Ice Beam	Ice	special	May freeze opponent.
gen1	Ice Punch	Ice	physical	May freeze opponent.
gen1	Jump Kick	Fighting	physical	If it misses, the user loses half their HP.
gen1	Karate Chop	Fighting	physical	High critical hit ratio.
gen1	Kinesis	Psychic	status	Lowers opponent's Accuracy.
gen1	Leech Life	Bug	physical	User recovers half the HP inflicted on opponent.
gen1	Leech Seed	Grass	status	Drains HP from opponent each turn.
gen1	Leer	Normal	status	Lowers opponent's Defense.
gen1	Lick	Ghost	physical	May paralyze opponent.
gen1	Light Screen	Psychic	status	Halves damage from Special attacks for 5 turns.
gen1	Lovely Kiss	Normal	status	Puts opponent to sleep.
gen1	Low Kick	Fighting	physical	The heavier the opponent, the stronger the attack.
gen1	Meditate	Psychic	status	Raises user's Attack.
gen1	Mega Drain	Grass	special	User recovers half the HP inflicted on opponent.
gen1	Mega Kick	Normal	physical	
gen1	Mega Punch	Normal	physical	
gen1	Metronome	Normal	status	User performs almost any move in the game at random.
gen1	Mimic	Normal	status	Copies the opponent's last move.
gen1	Minimize	Normal	status	Sharply raises user's Evasiveness.
gen1	Mirror Move	Flying	status	User performs the opponent's last move.
gen1	Mist	Ice	status	User's stats cannot be changed for a period of time.
gen1	Night Shade	Ghost	special	Inflicts damage equal to user's level.
gen1	Pay Day	Normal	physical	Money is earned after the battle.
gen1	Peck	Flying	physical	
gen1	Petal Dance	Grass	special	User attacks for 2-3 turns but then becomes confused.
gen1	Pin Missile	Bug	physical	Hits 2-5 times in one turn.
gen1	Poison Gas	Poison	status	Poisons opponent.
gen1	Poison Powder	Poison	status	Poisons opponent.
gen1	Poison Sting	Poison	physical	May poison the opponent.
gen1	Pound	Normal	physical	
gen1	Psybeam	Psychic	special	May confuse opponent.
gen1	Psychic	Psychic	special	May lower opponent's Special Defense.
gen1	Psywave	Psychic	special	Inflicts damage 50-150% of user's level.
gen1	Quick Attack	Normal	physical	User attacks first.
gen1	Rage	Normal	physical	Raises user's Attack when hit.
gen1	Razor Leaf	Grass	physical	High critical hit ratio.
gen1	Razor Wind	Normal	special	Charges on first turn, attacks on second. High critical hit ratio.
gen1	Recover	Normal	status	User recovers half its max HP.
gen1	Reflect	Psychic	status	Halves damage from Physical attacks for 5 turns.
gen1	Rest	Psychic	status	User sleeps for 2 turns, but user is fully healed.
gen1	Roar	Normal	status	In battles, the opponent switches. In the wild, the Pokémon runs.
gen1	Rock Slide	Rock	physical	May cause flinching.
gen1	Rock Throw	Rock	physical	
gen1	Rolling Kick	Fighting	physical	May cause flinching.
gen1	Sand Attack	Ground	status	Lowers opponent's Accuracy.
gen1	Scratch	Normal	physical	
gen1	Screech	Normal	status	Sharply lowers opponent's Defense.
gen1	Seismic Toss	Fighting	physical	Inflicts damage equal to user's level.
gen1	Self-Destruct	Normal	physical	User faints.
gen1	Sharpen	Normal	status	Raises user's Attack.
gen1	Sing	Normal	status	Puts opponent to sleep.
gen1	Skull Bash	Normal	physical	Raises Defense on first turn, attacks on second.
gen1	Sky Attack	Flying	physical	Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.
gen1	Slam	Normal	physical	
gen1	Slash	Normal	physical	High critical hit ratio.
gen1	Sleep Powder	Grass	status	Puts opponent to sleep.
gen1	Sludge	Poison	special	May poison opponent.
gen1	Smog	Poison	special	May poison opponent.
gen1	Smokescreen	Normal	status	Lowers opponent's Accuracy.
gen1	Soft-Boiled	Normal	status	User recovers half its max HP.
gen1	Solar Beam	Grass	special	Charges on first turn, attacks on second.
gen1	Sonic Boom	Normal	special	Always inflicts 20 HP.
gen1	Spike Cannon	Normal	physical	Hits 2-5 times in one turn.
gen1	Splash	Normal	status	Doesn't do ANYTHING.
gen1	Spore	Grass	status	Puts opponent to sleep.
gen1	Stomp	Normal	physical	May cause flinching.
gen1	Strength	Normal	physical	
gen1	String Shot	Bug	status	Sharply lowers opponent's Speed.
gen1	Struggle	Normal	physical	Only usable when all PP are gone. Hurts the user.
gen1	Stun Spore	Grass	status	Paralyzes opponent.
gen1	Submission	Fighting	physical	User receives recoil damage.
gen1	Substitute	Normal	status	Uses HP to creates a decoy that takes hits.
gen1	Super Fang	Normal	physical	Always takes off half of the opponent's HP.
gen1	Supersonic	Normal	status	Confuses opponent.
gen1	Surf	Water	special	Hits all adjacent Pokémon.
gen1	Swift	Normal	special	Ignores Accuracy and Evasiveness.
gen1	Swords Dance	Normal	status	Sharply raises user's Attack.
gen1	Tackle	Normal	physical	
gen1	Tail Whip	Normal	status	Lowers opponent's Defense.
gen1	Take Down	Normal	physical	User receives recoil damage.
gen1	Teleport	Psychic	status	Allows user to flee wild battles; also warps player to last PokéCenter.
gen1	Thrash	Normal	physical	User attacks for 2-3 turns but then becomes confused.
gen1	Thunder	Electric	special	May paralyze opponent.
gen1	Thunder Punch	Electric	physical	May paralyze opponent.
gen1	Thunder Shock	Electric	special	May paralyze opponent.
gen1	Thunder Wave	Electric	status	Paralyzes opponent.
gen1	Thunderbolt	Electric	special	May paralyze opponent.
gen1	Toxic	Poison	status	Badly poisons opponent.
gen1	Transform	Normal	status	User takes on the form and attacks of the opponent.
gen1	Tri Attack	Normal	special	May paralyze, burn or freeze opponent.
gen1	Twineedle	Bug	physical	Hits twice in one turn. May poison opponent.
gen1	Vine Whip	Grass	physical	
gen1	Vise Grip	Normal	physical	
gen1	Water Gun	Water	special	
gen1	Waterfall	Water	physical	May cause flinching.
gen1	Whirlwind	Normal	status	In battles, the opponent switches. In the wild, the Pokémon runs.
gen1	Wing Attack	Flying	physical	
gen1	Withdraw	Water	status	Raises user's Defense.
gen1	Wrap	Normal	physical	Traps opponent, damaging them for 4-5 turns.
gen2	Aeroblast	Flying	special	High critical hit ratio.
gen2	Ancient Power	Rock	special	May raise all user's stats at once.
gen2	Attract	Normal	status	If opponent is the opposite gender, it's less likely to attack.
gen2	Baton Pass	Normal	status	User switches out and gives stat changes to the incoming Pokémon.
gen2	Beat Up	Dark	physical	Each Pokémon in user's party attacks.
gen2	Belly Drum	Normal	status	User loses 50% of its max HP, but Attack raises to maximum.
gen2	Bone Rush	Ground	physical	Hits 2-5 times in one turn.
gen2	Charm	Fairy	status	Sharply lowers opponent's Attack.
gen2	Conversion 2	Normal	status	User changes type to become resistant to opponent's last move.
gen2	Cotton Spore	Grass	status	Sharply lowers opponent's Speed.
gen2	Cross Chop	Fighting	physical	High critical hit ratio.
gen2	Crunch	Dark	physical	May lower opponent's Defense.
gen2	Curse	Ghost	status	Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed.
gen2	Destiny Bond	Ghost	status	If the user faints, the opponent also faints.
gen2	Detect	Fighting	status	Protects the user, but may fail if used consecutively.
gen2	Dragon Breath	Dragon	special	May paralyze opponent.
gen2	Dynamic Punch	Fighting	physical	Confuses opponent.
gen2	Encore	Normal	status	Forces opponent to keep using its last move for 3 turns.
gen2	Endure	Normal	status	Always left with at least 1 HP, but may fail if used consecutively.
gen2	Extreme Speed	Normal	physical	User attacks first.
gen2	False Swipe	Normal	physical	Always leaves opponent with at least 1 HP.
gen2	Feint Attack	Dark	physical	Ignores Accuracy and Evasiveness.
gen2	Flail	Normal	physical	The lower the user's HP, the higher the power.
gen2	Flame Wheel	Fire	physical	May burn opponent.
gen2	Foresight	Normal	status	Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.
gen2	Frustration	Normal	physical	Power decreases with higher Friendship.
gen2	Fury Cutter	Bug	physical	Power increases each turn.
gen2	Future Sight	Psychic	special	Damage occurs 2 turns later.
gen2	Giga Drain	Grass	special	User recovers half the HP inflicted on opponent.
gen2	Heal Bell	Normal	status	Heals the user's party's status conditions.
gen2	Hidden Power	Normal	special	Type and power depends on user's IVs.
gen2	Icy Wind	Ice	special	Lowers opponent's Speed.
gen2	Iron Tail	Steel	physical	May lower opponent's Defense.
gen2	Lock-On	Normal	status	User's next attack is guaranteed to hit.
gen2	Mach Punch	Fighting	physical	User attacks first.
gen2	Magnitude	Ground	physical	Hits with random power.
gen2	Mean Look	Normal	status	Opponent cannot flee or switch.
gen2	Megahorn	Bug	physical	
gen2	Metal Claw	Steel	physical	May raise user's Attack.
gen2	Milk Drink	Normal	status	User recovers half its max HP.
gen2	Mind Reader	Normal	status	User's next attack is guaranteed to hit.
gen2	Mirror Coat	Psychic	special	When hit by a Special Attack, user strikes back with 2x power.
gen2	Moonlight	Fairy	status	User recovers HP. Amount varies with the weather.
gen2	Morning Sun	Normal	status	User recovers HP. Amount varies with the weather.
gen2	Mud-Slap	Ground	special	Lowers opponent's Accuracy.
gen2	Nightmare	Ghost	status	The sleeping opponent loses 25% of its max HP each turn.
gen2	Octazooka	Water	special	May lower opponent's Accuracy.
gen2	Outrage	Dragon	physical	User attacks for 2-3 turns but then becomes confused.
gen2	Pain Split	Normal	status	The user's and opponent's HP becomes the average of both.
gen2	Perish Song	Normal	status	Any Pokémon in play when this attack is used faints in 3 turns.
gen2	Powder Snow	Ice	special	May freeze opponent.
gen2	Present	Normal	physical	Either deals damage or heals.
gen2	Protect	Normal	status	Protects the user, but may fail if used consecutively.
gen2	Psych Up	Normal	status	Copies the opponent's stat changes.
gen2	Pursuit	Dark	physical	Double power if the opponent is switching out.
gen2	Rain Dance	Water	status	Makes it rain for 5 turns.
gen2	Rapid Spin	Normal	physical	Raises user's Speed and removes entry hazards and trap move effects.
gen2	Return	Normal	physical	Power increases with higher Friendship.
gen2	Reversal	Fighting	physical	The lower the user's HP, the higher the power.
gen2	Rock Smash	Fighting	physical	May lower opponent's Defense.
gen2	Rollout	Rock	physical	Doubles in power each turn for 5 turns.
gen2	Sacred Fire	Fire	physical	May burn opponent.
gen2	Safeguard	Normal	status	The user's party is protected from status conditions.
gen2	Sandstorm	Rock	status	Creates a sandstorm for 5 turns.
gen2	Scary Face	Normal	status	Sharply lowers opponent's Speed.
gen2	Shadow Ball	Ghost	special	May lower opponent's Special Defense.
gen2	Sketch	Normal	status	Permanently copies the opponent's last move.
gen2	Sleep Talk	Normal	status	User performs one of its own moves while sleeping.
gen2	Sludge Bomb	Poison	special	May poison opponent.
gen2	Snore	Normal	special	Can only be used if asleep. May cause flinching.
gen2	Spark	Electric	physical	May paralyze opponent.
gen2	Spider Web	Bug	status	Opponent cannot escape/switch.
gen2	Spikes	Ground	status	Damages opponents switching into battle.
gen2	Spite	Ghost	status	The opponent's last move loses 2-5 PP.
gen2	Steel Wing	Steel	physical	May raise user's Defense.
gen2	Sunny Day	Fire	status	Makes it sunny for 5 turns.
gen2	Swagger	Normal	status	Confuses opponent, but sharply raises its Attack.
gen2	Sweet Kiss	Fairy	status	Confuses opponent.
gen2	Sweet Scent	Normal	status	Lowers opponent's Evasiveness.
gen2	Synthesis	Grass	status	User recovers HP. Amount varies with the weather.
gen2	Thief	Dark	physical	Also steals opponent's held item.
gen2	Triple Kick	Fighting	physical	Hits thrice in one turn at increasing power.
gen2	Twister	Dragon	special	May cause flinching. Hits Pokémon using Fly/Bounce with double power.
gen2	Vital Throw	Fighting	physical	User attacks last, but ignores Accuracy and Evasiveness.
gen2	Whirlpool	Water	special	Traps opponent, damaging them for 4-5 turns.
gen2	Zap Cannon	Electric	special	Paralyzes opponent.
gen3	Aerial Ace	Flying	physical	Ignores Accuracy and Evasiveness.
gen3	Air Cutter	Flying	special	High critical hit ratio.
gen3	Arm Thrust	Fighting	physical	Hits 2-5 times in one turn.
gen3	Aromatherapy	Grass	status	Cures all status problems in your party.
gen3	Assist	Normal	status	User performs a move known by its allies at random.
gen3	Astonish	Ghost	physical	May cause flinching.
gen3	Blast Burn	Fire	special	User must recharge next turn.
gen3	Blaze Kick	Fire	physical	High critical hit ratio. May burn opponent.
gen3	Block	Normal	status	Opponent cannot flee or switch.
gen3	Bounce	Flying	physical	Springs up on first turn, attacks on second. May paralyze opponent.
